get | время выполнения - 0.22101616859436035 секунд
get | время выполнения - 0.27165961265563965 секунд
get | время выполнения - 0.21748709678649902 секунд
get | время выполнения - 0.2610185146331787 секунд
get | время выполнения - 0.24728965759277344 секунд
get | время выполнения - 0.732515811920166 секунд
get | время выполнения - 0.2038729190826416 секунд
get | время выполнения - 0.2454843521118164 секунд
get | время выполнения - 0.8157341480255127 секунд
get | время выполнения - 0.351395845413208 секунд
get | время выполнения - 0.3291029930114746 секунд
get | время выполнения - 0.18626880645751953 секунд
get | время выполнения - 0.2571549415588379 секунд
get | время выполнения - 0.5183629989624023 секунд
get | время выполнения - 0.47126293182373047 секунд
get | время выполнения - 0.5582921504974365 секунд
get | время выполнения - 0.4648585319519043 секунд
get | время выполнения - 0.15755891799926758 секунд
get | время выполнения - 0.3077430725097656 секунд
get | время выполнения - 0.25930070877075195 секунд
get | время выполнения - 1.494746446609497 секунд
get | время выполнения - 0.7328660488128662 секунд
get | время выполнения - 0.6621744632720947 секунд
get | время выполнения - 1.029862403869629 секунд
get | время выполнения - 0.3619048595428467 секунд
get | время выполнения - 0.5582802295684814 секунд
get | время выполнения - 0.2961399555206299 секунд
get | время выполнения - 0.7187366485595703 секунд
get | время выполнения - 0.6212165355682373 секунд
get | время выполнения - 0.5481603145599365 секунд
get | время выполнения - 0.2584972381591797 секунд
get | время выполнения - 0.6873741149902344 секунд
get | время выполнения - 0.32834768295288086 секунд
get | время выполнения - 0.37525129318237305 секунд
get | время выполнения - 0.24431300163269043 секунд
get | время выполнения - 0.21345090866088867 секунд
get | время выполнения - 0.413738489151001 секунд
get | время выполнения - 0.37857604026794434 секунд
get | время выполнения - 0.16285037994384766 секунд
get | время выполнения - 0.32010507583618164 секунд
get | время выполнения - 0.422544002532959 секунд
get | время выполнения - 0.2669556140899658 секунд
get | время выполнения - 0.5252091884613037 секунд
